Código de Acesso,F0101,F0102,F0103,F0104,F0201,Cor0202,F0203,Cor0204,F0205,Cor0206,F0207,Cor0208,Cor0209Outro,L0210 (não likert),F0299 - Explicação Tempo,Q0401,Q0402,Q0403,T0404,Q0405,Q0406,Q0407,T0408,Q0409,Q0410,Q0411,T0412,Q0413,Q0414,Q0415,T0498,T0499 - Explicação Tempo,P01,T01,P02,T02,P03,T03,P05,T05,P09,T09,P12,T12,P15,T15,PTempoTotal,PTempoTotalExpl,QtdComida,QtdPessoas,QtdSom,GameTempoTotal,QtdDormir,QtdHorasDormi,QtdHorasSono,Acordar,F0705,F0706,F0707,F0708,F0709,F0710,F0711,F0712,F0713,F1101,F1102,F1103,F1104,F1105,Tempo1106,F1107,Tempo1108,F1109,Tempo1110,F1111,Tempo1112,TempoTotal11,T1199Expl,Q1201,Q1202,Q1203,T1204,T1205Expl,Q1206,Q1207,Q1208,Q1209,T1210Expl,P04,P08,P10,P12.1,P02.1,P03.1,P07,P09.1,P13,T04,T08,T10,T12.1,T02.1,T03.1,T07,T09.1,T13,TempoTotal,TempoTotalExpl,Data/Hora Último,Target1,Target2,Target3,Idade_Anos,Likert_Score_Medio,Likert_Score_Std,Likert_Score_Min,Likert_Score_Max,Likert_Missing_Count,Tempo_Total,Tempo_Medio,Tempo_Std,Tempo_Min,Tempo_Max,Tem_Timeout,Performance_Score_Total,Performance_Score_Medio,Respostas_P_Media,Respostas_P_Std,Respostas_P_Missing,Quantidade_Total,Quantidade_Media,Razao_Sono,Razao_Q0413_Q0414,Hora_do_Dia,Dia_da_Semana,Fim_de_Semana,Consistencia_F07,Consistencia_F11
JDOLSME75EKO,1.0,0.0,0.47058823529411764,3.0,1.0,FFFFFF,8.0,FFFFFF,2.0,FFFFFF,50505.0,FFFFFF,FFFFFF,0.0,UNKNOWN,10.0,1.0,9.0,69.602,5.0,4.0,9.0,47.394,8.0,1.0,9.0,0.0,23.0,6.0,27.0,116.996,10.0,2.0,10.982,2.0,15.163,2.0,9.234,2.0,9.016,1.0,21.461,4.0,6.286,1.0,64.242,136.384,UNKNOWN,2.0,1.0,1.0,20.782,1.0,1.0,2.0,3,4.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,8.416,3.0,4.527,2.0,8.789,2.0,8.055,2.0,3.509,3.0,2.432,35.728,UNKNOWN,0.0,0.0,24.0,65.946,UNKNOWN,0.0,0.0,24.0,110.471,UNKNOWN,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,5.965,4.424,6.867,6.15,5.515,8.2,7.582,5.25,5.567,79.517,UNKNOWN,2025-12-09 11:42:59,26.923,19.048,54.286,67.58823529411765,2.879,1.8099704417475995,1.0,8.416,0,887.2950000000001,27.727968750000002,34.47749990326498,0.0,136.384,0,112.0,9.333333333333334,2.9375,1.8062391868188443,0,8.0,1.3333333333333333,0.499999750000125,3.8333326944445507,11.0,1.0,0,1.2360330811826106,2.3358350869809774
CM3DF3GCO8KV,3.0,1.0,0.47058823529411764,3.0,2.0,BE845A,3.0,5B2600,2.0,FFFFFF,50505.0,262626,474747,0.0,UNKNOWN,2.0,1.0,17.0,10.983,2.0,1.0,12.0,7.45,1.0,2.0,16.0,17.116,5.0,4.0,45.0,35.549,UNKNOWN,2.0,34.999,1.0,6.649,4.0,9.55,4.0,20.901,1.0,10.217,1.0,9.881,1.0,23.115,115.312,UNKNOWN,2.0,1.0,3.0,25.732,2.0,2.0,2.0,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,7.234,3.0,6.197,2.0,1.9,4.0,4.8,2.0,3.605,4.0,7.124,30.86,UNKNOWN,2.0,0.0,24.0,141.18,UNKNOWN,7.0,0.0,24.0,203.626,UNKNOWN,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,5.436,3.09,7.055,1.466,3.562,11.683,6.514,15.82,6.274,84.976,UNKNOWN,2025-12-09 11:42:13,53.846,47.619,71.429,67.58823529411765,3.2606470588235297,1.457580141071858,2.0,7.234,0,835.693,26.11540625,33.81050031292472,1.466,141.18,0,108.0,9.0,2.9375,1.9137659209004638,0,12.0,2.0,0.99999950000025,1.249999687500078,11.0,1.0,0,0.4409585518440984,1.9992085889528528
CX7MQGTPWBVF,3.0,0.0,0.47058823529411764,2.0,5.0,FFFFFF,8.0,FFFFFF,2.0,FFFFFF,50505.0,FFFFFF,FFFFFF,5.0,UNKNOWN,3.0,1.0,16.0,24.565,3.0,0.0,11.0,6.867,3.0,0.0,14.0,8.749,9.0,1.0,41.0,40.181,UNKNOWN,3.0,3.866,3.0,7.183,4.0,7.533,4.0,7.766,4.0,8.066,4.0,6.617,4.0,6.916,47.947,UNKNOWN,3.0,2.0,3.0,34.665,2.0,3.0,2.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,12.712,4.0,2.479,4.0,3.098,4.0,2.798,4.0,1.732,4.0,3.833,26.652,UNKNOWN,2.0,0.0,24.0,64.513,UNKNOWN,2.0,0.0,24.0,145.544,UNKNOWN,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.9,4.5,7.466,6.433,7.766,7.216,6.683,7.849,6.566,82.946,UNKNOWN,2025-12-09 11:40:41,11.538,4.762,77.143,67.58823529411765,4.658294117647059,2.3297721928523902,1.0,12.712,0,550.3149999999999,17.197343749999998,22.016675077283338,1.732,82.946,0,102.0,8.5,4.4375,0.7274384280931732,0,15.0,2.5,1.499999250000375,8.999991000009,11.0,1.0,0,1.3333333333333335,3.20153032325391
GXZ25RE8L9UB,1.0,1.0,0.5294117647058824,1.0,0.0,CB869F,3.0,7F0D0D,2.0,41641F,0.0,64451F,F2F2F2,0.0,UNKNOWN,2.0,4.0,17.0,55.815,1.0,5.0,13.0,60.465,2.0,1.0,15.0,26.766,5.0,10.0,45.0,143.046,UNKNOWN,4.0,5.616,3.0,13.083,2.0,6.416,4.0,40.615,3.0,22.283,4.0,9.383,4.0,15.766,113.162,UNKNOWN,2.0,2.0,2.0,23.999,2.0,3.0,2.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,4.8,4.0,4.7,4.0,7.9,4.0,8.63,4.0,5.1,4.0,2.3,33.43,UNKNOWN,3.0,0.0,24.0,133.863,UNKNOWN,3.0,0.0,24.0,220.758,UNKNOWN,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.167,3.85,8.449,3.517,6.698,8.265,7.234,5.451,7.716,80.363,UNKNOWN,2025-12-09 11:37:18,15.385,47.619,85.714,69.41176470588235,4.382352941176471,0.9888347271647868,1.0,5.0,0,1012.066,31.6270625,39.32270506064263,2.3,143.046,0,120.0,10.0,4.0625,1.2365947867699696,0,13.0,2.1666666666666665,1.499999250000375,0.499999950000005,11.0,1.0,0,1.3333333333333335,0.34820970692960296
1XSEM93HBL1W,2.0,0.0,0.47058823529411764,4.0,4.0,DEC29E,11.0,FFFFFF,2.0,FFFFFF,50505.0,FFFFFF,FFFFFF,5.0,UNKNOWN,1.0,0.0,18.0,18.846,1.0,1.0,13.0,11.094,0.0,0.0,17.0,3.691,2.0,1.0,48.0,33.631,UNKNOWN,3.0,32.667,3.0,25.008,4.0,15.42,3.0,51.616,3.0,14.235,4.0,10.674,4.0,12.208,161.828,UNKNOWN,2.0,2.0,3.0,58.177,2.0,3.0,2.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,4.2,4.0,1.9,4.0,1.1,4.0,0.5,4.0,1.6,4.0,0.3,9.6,UNKNOWN,2.0,0.0,24.0,72.215,UNKNOWN,7.0,0.0,24.0,154.672,UNKNOWN,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,6.378,4.047,13.839,7.228,10.558,6.844,9.674,8.843,9.127,98.888,UNKNOWN,2025-12-09 11:34:20,0.0,0.0,65.714,67.58823529411765,4.18235294117647,1.1424946904240119,1.0,5.0,0,775.55,24.2359375,34.81860166073404,0.0,161.828,0,102.0,8.5,4.0625,1.181453906563152,0,14.0,2.3333333333333335,1.499999250000375,1.9999980000020001,11.0,1.0,0,1.3333333333333335,0.7558108228915488
21QPOX7EK9GB,3.0,0.0,0.5294117647058824,3.0,3.0,FACA7D,8.0,000000,2.0,8F8678,0.0,000000,010100,0.0,UNKNOWN,3.0,0.0,16.0,25.913,0.0,3.0,14.0,30.279,2.0,1.0,15.0,12.034,5.0,4.0,45.0,68.226,UNKNOWN,3.0,3.316,3.0,9.383,4.0,5.633,4.0,14.382,4.0,10.148,4.0,7.183,3.0,8.199,58.244,UNKNOWN,2.0,1.0,1.0,25.597,1.0,2.0,2.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,19.459,4.0,2.697,2.0,5.899,3.0,1.597,4.0,1.277,3.0,7.293,38.222,UNKNOWN,20.0,0.0,24.0,125.939,UNKNOWN,4.0,0.0,24.0,132.285,UNKNOWN,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.368,3.783,12.25,7.534,4.767,8.901,49.646,6.318,12.234,135.653,UNKNOWN,2025-12-09 11:31:40,23.077,19.048,60.0,69.41176470588235,4.891529411764706,3.9541629189634913,1.0,19.459,0,805.3430000000001,25.166968750000002,33.13044497669524,1.277,135.653,0,108.0,9.0,4.125,1.1474609652039003,0,9.0,1.5,0.99999950000025,1.249999687500078,11.0,1.0,0,1.3333333333333335,5.779093453376328
3K07UCBRM7NJ,1.0,0.0,0.5882352941176471,2.0,2.0,FFFFFF,14.0,4F4545,2.0,FFFFFF,50505.0,FFFFFF,FFFFFF,5.0,UNKNOWN,3.0,0.0,16.0,10.45,3.0,0.0,11.0,8.749,3.0,0.0,14.0,5.8,9.0,0.0,41.0,24.999,UNKNOWN,2.0,11.1,3.0,27.199,4.0,4.033,4.0,6.899,1.0,38.398,3.0,9.834,1.0,4.316,101.779,UNKNOWN,2.0,1.0,3.0,24.364,2.0,2.0,1.0,3,4.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,2.5,2.0,4.4,1.0,6.6,1.0,2.0,2.0,2.0,2.0,2.7,20.2,UNKNOWN,0.0,0.0,24.0,49.864,UNKNOWN,2.0,0.0,24.0,102.012,UNKNOWN,5.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,4.983,7.967,8.583,6.383,10.7,10.516,9.932,9.033,10.016,99.963,UNKNOWN,2025-12-09 11:29:05,19.231,90.476,28.571,71.23529411764706,2.288235294117647,1.078124733589055,1.0,4.4,0,677.638,21.1761875,27.232580241484108,2.0,101.779,0,100.0,8.333333333333334,3.1875,1.7594980344783944,0,11.0,1.8333333333333333,1.9999980000020001,9000000.0,11.0,1.0,0,1.0137937550497031,1.1344444833107903
PKT94846M7Z8,2.0,0.0,0.47058823529411764,3.0,5.0,947907,5.0,292929,2.0,AEAEAE,810000.0,3C3C3C,937600,2.0,UNKNOWN,15.0,3.0,4.0,68.346,6.0,0.0,8.0,44.831,2.0,4.0,15.0,11.316,23.0,7.0,27.0,124.493,UNKNOWN,1.0,3.35,3.0,13.349,4.0,10.833,3.0,16.132,4.0,3.467,3.0,9.799,4.0,10.883,67.813,UNKNOWN,3.0,2.0,1.0,21.832,2.0,3.0,2.0,5,5.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,2.0,7.266,3.0,3.699,4.0,1.015,4.0,1.532,4.0,2.783,3.0,2.999,19.294,UNKNOWN,2.0,0.0,24.0,77.98,UNKNOWN,2.0,0.0,24.0,125.094,UNKNOWN,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.367,4.667,12.6,2.834,5.45,8.666,7.116,7.35,8.533,86.429,UNKNOWN,2025-12-09 11:26:23,19.231,19.048,65.714,67.58823529411765,4.056764705882353,1.1911805871388563,2.0,7.266,0,765.0519999999999,23.907874999999997,30.785095102987743,1.015,124.493,0,114.0,9.5,4.1875,1.1672617529928753,0,13.0,2.1666666666666665,1.499999250000375,3.2857138163265978,11.0,1.0,0,0.8333333333333334,1.5410318377632568
7CG4949BWJOM,1.0,1.0,0.47058823529411764,1.0,2.0,FFFFFF,3.0,FFFFFF,1.0,FFFFFF,50505.0,FFFFFF,FFFFFF,5.0,UNKNOWN,3.0,2.0,16.0,30.901,4.0,17.0,10.0,56.467,3.0,3.0,14.0,29.265,10.0,22.0,40.0,116.633,UNKNOWN,2.0,14.533,2.0,5.133,2.0,4.382,2.0,4.016,3.0,23.369,4.0,8.099,3.0,10.467,69.999,UNKNOWN,1.0,1.0,1.0,15.216,1.0,1.0,2.0,5,4.0,4.0,2.0,4.0,5.0,3.0,2.0,2.0,3.0,1.0,8.7,1.0,1.6,2.0,2.8,1.0,0.7,2.0,1.3,4.0,13.5,28.6,UNKNOWN,0.0,0.0,24.0,62.266,UNKNOWN,9.0,0.0,24.0,187.547,UNKNOWN,1.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,5.216,6.85,2.8,5.716,8.25,6.185,5.483,4.816,7.0,76.698,UNKNOWN,2025-12-09 11:25:42,57.692,42.857,34.286,67.58823529411765,2.9588235294117644,1.9271283116107667,1.0,8.7,0,761.4949999999999,23.796718749999997,27.848232628503553,0.7,116.633,0,144.0,12.0,2.4375,1.547847968417226,0,7.0,1.1666666666666667,0.499999750000125,0.4545454338842984,11.0,1.0,0,1.092906420717,2.6332692879493247
LOSXYY17C37Y,1.0,1.0,0.5882352941176471,2.0,0.0,FFFFFF,7.0,B30007,1.0,FFFFFF,50505.0,FFFFFF,FFFFFF,0.0,UNKNOWN,14.0,21.0,5.0,58.564,9.0,29.0,5.0,67.948,5.0,11.0,12.0,0.0,28.0,61.0,22.0,126.512,11.0,4.0,3.166,2.0,5.717,3.0,15.649,2.0,17.1,3.0,17.349,4.0,7.917,1.0,7.999,74.897,UNKNOWN,1.0,0.0,1.0,19.083,1.0,2.0,3.0,1,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.8,1.0,2.0,1.0,2.9,1.0,1.2,2.0,3.0,2.0,6.2,21.1,UNKNOWN,0.0,0.0,24.0,64.948,UNKNOWN,4.0,0.0,24.0,97.412,UNKNOWN,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.9,7.417,6.783,5.832,9.867,8.482,22.149,6.667,5.066,100.494,UNKNOWN,2025-12-09 11:25:40,42.308,38.095,68.571,71.23529411764706,2.8705882352941177,1.9772976210861486,1.0,5.8,0,846.8799999999999,26.464999999999996,32.26096318282935,0.0,126.512,0,222.0,18.5,2.0,1.3662601021279464,0,8.0,1.3333333333333333,0.6666664444445185,0.45901638591776417,11.0,1.0,0,2.0,1.6228282190581442
