Feature,Coefficient,Abs_Coefficient
F1105,1.2521766471393598,1.2521766471393598
F1103,1.2184719930962087,1.2184719930962087
Respostas_P_Media,1.0909636178480921,1.0909636178480921
F0711,1.03904025144618,1.03904025144618
F0708,0.980309717869956,0.980309717869956
P09,0.9136421542856427,0.9136421542856427
Atitude_Consistente,0.9122776815000142,0.9122776815000142
F1109,0.8737524488501444,0.8737524488501444
P07,0.8699102093438149,0.8699102093438149
P13,0.8223520331735797,0.8223520331735797
QtdPessoas,0.8206412750852561,0.8206412750852561
F0712,0.8014547063202595,0.8014547063202595
P08,0.7859847609908036,0.7859847609908036
T07,-0.7799626981249571,0.7799626981249571
P02,0.7384165444533475,0.7384165444533475
F0713,-0.7244353556791538,0.7244353556791538
P12.1,0.7002048216594036,0.7002048216594036
P12,0.6651118789174004,0.6651118789174004
Consistencia_F07,0.6625741465228698,0.6625741465228698
T12,-0.5686414712249097,0.5686414712249097
